description,category
"Unbrako Hex Head Bolt/Screw Inch UNC 7/8"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 22 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako Hex Head Bolt/Screw Metric M20, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 26 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel 5/8"" BSW Hex Bolt. British Standard Whitworth thread. Corrosion resistant stainless steel. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Metric M8, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 30 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M39 Hot Forged High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Metric M42, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 17 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M39 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS 3/8"" Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw, Inch Series. Specification ANSI B18.2.1/BS1083, Thread Fit ANSI B1.1/BS1083. Grade R/BSW/BSF and Grade 5.2 & 8 for UNC/UNF. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS M30 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"BSW 1/4"" Stainless Steel 202 Grade Hex Bolt. British Standard Whitworth thread. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.",Bolts
M6 Stainless Steel 202 Grade Hex Bolt. Available in lengths from 10mm to 100mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"Unbrako Hex Head Bolt/Screw Metric M6, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 26 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako Hex Head Bolt/Screw Inch UNC 5/8"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 24 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
M10 Stainless Steel 202 Grade Hex Bolt. Available in lengths from 20mm to 110mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"Unbrako Hex Head Bolt/Screw Metric M33, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 17 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako Hex Head Bolt/Screw Inch UNC 1 1/8"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 23 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M10 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS M45 Hot Forged High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS M20 High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9, long lengths 205mm+. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M12 Long Hex Bolt. Lengths 110mm to 200mm. Ideal for deep structural and industrial fastening applications. Metric thread. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.,Bolts
"TVS M33 Hot Forged High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako IS 3757 High Strength Structural Bolt Metric M24, Property Class 10.9S. BIS certified CM/L-9700156815. 19 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M42 Hot Forged High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Inch UNC 3/8"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 22 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel 5/16"" BSW Hex Bolt. British Standard Whitworth thread. Superior corrosion resistance for demanding environments. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Inch UNC 1/2"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 24 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako IS 3757 High Strength Structural Bolt Metric M22, Property Class 10.9S. BIS certified CM/L-9700156815. 18 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M24 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel 3/16"" BSW Hex Bolt. British Standard Whitworth thread. Corrosion resistant stainless steel. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel 1/2"" BSW Hex Bolt. British Standard Whitworth thread. Corrosion resistant stainless steel. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"TVS 5/16"" Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw, Inch Series. Specification ANSI B18.2.1/BS1083, Thread Fit ANSI B1.1/BS1083. Grade R/BSW/BSF and Grade 5.2 & 8 for UNC/UNF. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako Tension Control Structural Bolt M36, System HRC BS EN 14399-10, Property Class 10.9 HRC. Black oxide finish. 17 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel 1/2"" BSW Hex Bolt. British Standard Whitworth thread. Superior corrosion resistance for demanding environments. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel M10 Hex Bolt. Cold forged, metric thread. Higher corrosion resistance than 304, suitable for chloride-rich environments, marine and chemical applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel M12 Hex Bolt. Cold forged, metric thread. Higher corrosion resistance than 304, suitable for chloride-rich environments, marine and chemical applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"Unbrako Tension Control Structural Bolt M22, System HRC BS EN 14399-10, Property Class 10.9 HRC. Black oxide finish. 20 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako IS 3757 High Strength Structural Bolt Metric M30, Property Class 10.9S. BIS certified CM/L-9700156815. 16 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M56 Hot Forged High Tensile Precision Hexagonal Head Screw, Grade 8.8 & 10.9. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS M42 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS 9/16"" Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw, Inch Series. Specification ANSI B18.2.1/BS1083, Thread Fit ANSI B1.1/BS1083. Grade R/BSW/BSF and Grade 5.2 & 8 for UNC/UNF. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"BSW 1/2"" Stainless Steel 202 Grade Hex Bolt. British Standard Whitworth thread. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.",Bolts
"TVS 7/8"" Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw, Inch Series. Specification ANSI B18.2.1/BS1083, Thread Fit ANSI B1.1/BS1083. Grade R/BSW/BSF and Grade 5.2 & 8 for UNC/UNF. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
M5 Stainless Steel 202 Grade Hex Bolt. Available in lengths from 10mm to 80mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"Unbrako Hex Head Bolt/Screw Metric M4, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 15 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako Hex Head Bolt/Screw Metric M22, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 24 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"BSW 1/8"" Stainless Steel 202 Grade Hex Bolt. British Standard Whitworth thread. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.",Bolts
"TVS M30 High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9, long lengths 205mm+. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS M27 High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9, long lengths 205mm+. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS M22 High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9, long lengths 205mm+. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel M8 Long Hex Bolt. Lengths 110mm to 200mm. Superior corrosion resistance for marine and chemical environments. Metric thread. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.,Bolts
GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M8 Long Hex Bolt. Lengths 110mm to 200mm. Ideal for deep structural and industrial fastening applications. Metric thread. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.,Bolts
"Unbrako Tension Control Structural Bolt M30, System HRC BS EN 14399-10, Property Class 10.9 HRC. Black oxide finish. 18 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako Hex Head Bolt/Screw Metric M12, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 29 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M18 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel M6 Hex Bolt. Cold forged, metric thread. Higher corrosion resistance than 304, suitable for chloride-rich environments, marine and chemical applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"TVS M36 Hot Forged High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako High Tensile Track Shoe Bolts and Square Nuts, Property Class 12.9. Compatible with HM-Terex & Demag earthmovers. MRP per 100 pieces, exclusive of GST.",Bolts
M12 Stainless Steel 202 Grade Long Hex Bolt. Available in lengths from 110mm to 160mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"TVS 1/4"" Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw, Inch Series. Specification ANSI B18.2.1/BS1083, Thread Fit ANSI B1.1/BS1083. Grade R/BSW/BSF and Grade 5.2 & 8 for UNC/UNF. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
M18 Stainless Steel 202 Grade Hex Bolt. Available in lengths from 40mm to 100mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"Unbrako Hex Head Bolt/Screw Metric M5, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 17 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
M10 Stainless Steel 202 Grade Long Hex Bolt. Available in lengths from 110mm to 150mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"TVS M52 Hot Forged High Tensile Precision Hexagonal Head Bolt, Grade 8.8 & 10.9. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Metric M48, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 14 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M12 Hex Bolt. Cold forged, metric thread. Conforms to IS:1364 / DIN 931 / DIN 933. Corrosion resistant, suitable for marine, food, and general industrial applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"TVS M22 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS 7/16"" Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw, Inch Series. Specification ANSI B18.2.1/BS1083, Thread Fit ANSI B1.1/BS1083. Grade R/BSW/BSF and Grade 5.2 & 8 for UNC/UNF. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako Tension Control Structural Bolt M20, System HRC BS EN 14399-10, Property Class 10.9 HRC. Black oxide finish. 23 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako IS 3757 High Strength Structural Bolt Metric M27, Property Class 10.9S. BIS certified CM/L-9700156815. 16 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS 3/4"" Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw, Inch Series. Specification ANSI B18.2.1/BS1083, Thread Fit ANSI B1.1/BS1083. Grade R/BSW/BSF and Grade 5.2 & 8 for UNC/UNF. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS M20 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel M20 Long Hex Bolt. Lengths 110mm to 200mm. Superior corrosion resistance for marine and chemical environments. Metric thread. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.,Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel 1/4"" BSW Hex Bolt. British Standard Whitworth thread. Superior corrosion resistance for demanding environments. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"TVS 1/2"" Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw, Inch Series. Specification ANSI B18.2.1/BS1083, Thread Fit ANSI B1.1/BS1083. Grade R/BSW/BSF and Grade 5.2 & 8 for UNC/UNF. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS M12 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M10 Hex Bolt. Cold forged, metric thread. Conforms to IS:1364 / DIN 931 / DIN 933. Corrosion resistant, suitable for marine, food, and general industrial applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M5 Hex Bolt. Cold forged, metric thread. Conforms to IS:1364 / DIN 931 / DIN 933. Corrosion resistant, suitable for marine, food, and general industrial applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel 5/16"" BSW Hex Bolt. British Standard Whitworth thread. Corrosion resistant stainless steel. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"TVS M5 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS M16 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS M24 High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9, long lengths 205mm+. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M8 Hex Bolt. Cold forged, metric thread. Conforms to IS:1364 / DIN 931 / DIN 933. Corrosion resistant, suitable for marine, food, and general industrial applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
M16 Stainless Steel 202 Grade Long Hex Bolt. Available in lengths from 110mm to 180mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"BSW 5/16"" Stainless Steel 202 Grade Hex Bolt. British Standard Whitworth thread. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel M20 Hex Bolt. Cold forged, metric thread. Higher corrosion resistance than 304, suitable for chloride-rich environments, marine and chemical applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M14 Hex Bolt. Cold forged, metric thread. Conforms to IS:1364 / DIN 931 / DIN 933. Corrosion resistant, suitable for marine, food, and general industrial applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M16 Hex Bolt. Cold forged, metric thread. Conforms to IS:1364 / DIN 931 / DIN 933. Corrosion resistant, suitable for marine, food, and general industrial applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel M8 Hex Bolt. Cold forged, metric thread. Higher corrosion resistance than 304, suitable for chloride-rich environments, marine and chemical applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
M4 Stainless Steel 202 Grade Hex Bolt. Available in lengths from 10mm to 50mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"BSW 5/8"" Stainless Steel 202 Grade Hex Bolt. British Standard Whitworth thread. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.",Bolts
"TVS 1-1/4"" Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw, Inch Series. Specification ANSI B18.2.1/BS1083, Thread Fit ANSI B1.1/BS1083. Grade R/BSW/BSF and Grade 5.2 & 8 for UNC/UNF. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
M16 Stainless Steel 202 Grade Hex Bolt. Available in lengths from 25mm to 100mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"Unbrako Hex Head Bolt/Screw Metric M30, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 25 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M45 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel 7/16"" BSW Hex Bolt. British Standard Whitworth thread. Corrosion resistant stainless steel. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
M12 Stainless Steel 202 Grade Hex Bolt. Available in lengths from 25mm to 110mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"TVS M12 High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9, long lengths 205mm+. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS M16 High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9, long lengths 205mm+. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Metric M14, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 27 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS 1"" Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw, Inch Series. Specification ANSI B18.2.1/BS1083, Thread Fit ANSI B1.1/BS1083. Grade R/BSW/BSF and Grade 5.2 & 8 for UNC/UNF. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M3 Hex Bolt. Cold forged, metric thread. Conforms to IS:1364 / DIN 931 / DIN 933. Corrosion resistant, suitable for marine, food, and general industrial applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel 3/4"" BSW Hex Bolt. British Standard Whitworth thread. Superior corrosion resistance for demanding environments. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Inch UNC 1 3/8"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 17 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
